"fromId","mean_score","lat","lon","pop","amn_density","trafficScore","need","efficiency"
"59153135001",0.95,49.263,-123.1302,0.71,0.99,0.87,0.99,-0.0729166666666667
"59153135002",0.94,49.262,-123.1302,0.83,1,0.98,1,-0.0937500000000001
"59153135005",0.94,49.2611,-123.1303,0.92,1,0.98,1,-0.0937500000000001
"59153136001",0.92,49.2629,-123.1278,0.93,0.99,0.87,1,-0.114583333333333
"59153136002",0.91,49.262,-123.1279,0.81,1,0.98,1,-0.125
"59153136003",0.9,49.2611,-123.1279,0.87,1,0.98,1,-0.135416666666667
"59153137001",0.99,49.2612,-123.135,0.9,0.99,0.98,1,-0.0416666666666667
"59153137002",0.97,49.2612,-123.1326,0.85,1,0.98,1,-0.0625000000000001
"59153138001",1,49.2631,-123.1373,0.39,0.99,0.87,0.9,0.0729166666666665
"59153138002",0.99,49.2631,-123.1349,0.73,0.99,0.87,0.99,-0.03125
"59153138003",0.99,49.2621,-123.135,0.88,0.99,0.98,1,-0.0416666666666667
"59153139001",1,49.2621,-123.1374,0.82,0.99,0.98,1,-0.03125
"59153139002",1,49.2612,-123.1374,0.83,0.99,0.98,1,-0.03125
"59153140001",1,49.2631,-123.1398,0.65,0.99,0.87,0.98,-0.0104166666666666
"59153140002",1,49.2622,-123.1398,0.73,0.99,0.87,0.99,-0.0208333333333334
"59153140003",0.99,49.2613,-123.1399,0.86,0.99,0.98,1,-0.0416666666666667
"59153140004",1,49.2603,-123.1399,0.76,0.99,0.98,1,-0.03125
"59153141001",0.92,49.2656,-123.1301,0.82,0.97,0.87,1,-0.114583333333333
"59153141002",0.92,49.2648,-123.1301,0.83,0.98,0.87,1,-0.114583333333333
"59153141003",0.89,49.2648,-123.1278,0.82,0.99,0.87,1,-0.145833333333333
"59153142001",0.88,49.2656,-123.1277,0.78,0.99,0.87,1,-0.15625
"59153142002",0.86,49.2656,-123.1253,0.86,0.99,0.87,1,-0.177083333333333
"59153144001",0.9,49.2655,-123.1229,0.86,1,0.87,1,-0.135416666666667
"59153144002",0.91,49.2655,-123.1208,0.74,1,0.87,1,-0.125
"59153144003",0.93,49.2646,-123.1208,0.87,1,0.87,1,-0.104166666666667
"59153145001",0.91,49.2647,-123.1253,0.79,0.99,0.87,1,-0.125
"59153145002",0.93,49.2638,-123.1254,0.31,1,0.87,0.86,0.0416666666666667
"59153145003",0.93,49.2638,-123.123,0.2,1,0.87,0.8,0.104166666666667
"59153145004",0.92,49.2647,-123.1229,0.86,1,0.87,1,-0.114583333333333
"59153146002",0.99,49.2697,-123.1099,0.13,0.95,0.51,0.52,0.458333333333333
"59153146003",0.98,49.2698,-123.108,0.99,0.95,0.51,0.97,-0.0208333333333334
"59153146004",0.98,49.2688,-123.108,0.13,0.95,0.51,0.52,0.447916666666667
