,Player,Stage,career_FG_%,career_FT_%,career_3PT_%,Minutes_per_game
405,Darius Miller,Playoffs,41.18,100.0,37.5,18.03
406,Darius Miller,Regular_Season,41.71,82.61,38.78,24.51
407,Darius Morris,Playoffs,45.71,77.78,33.33,26.22
408,Darius Songaila,Playoffs,48.42,89.66,0.0,15.57
409,Darius Songaila,Regular_Season,50.07,85.32,8.33,18.46
410,Darko Milicic,Playoffs,58.82,52.94,,28.65
411,Darko Milicic,Regular_Season,44.66,59.26,0.0,23.84
412,Darrell Armstrong,Playoffs,40.33,88.14,27.59,24.74
413,Darrell Armstrong,Regular_Season,40.83,87.3,33.2,25.57
414,Darrell Arthur,Playoffs,46.38,80.77,33.33,13.41
415,Darrell Arthur,Regular_Season,46.33,75.77,34.97,19.5
416,Darren Collison,Playoffs,43.57,83.51,33.33,23.25
417,Darren Collison,Regular_Season,47.13,85.91,39.68,29.01
418,Darrick Martin,Playoffs,27.45,80.0,30.0,11.31
419,Darrick Martin,Regular_Season,38.0,82.35,30.65,12.58
