fromId,type,avg_time,toId,sd_time,time_group
59150400005,theatre/performance and concert hall,20.07692,6954,1.060899,15-30
59150400007,gallery,26.5641,5638,2.023479,15-30
59150400007,library or archives,16.20513,8405,0.8006408,15-30
59150400007,museum,19.79487,9348,1.128098,15-30
59150400007,theatre/performance and concert hall,19.79487,6954,1.128098,15-30
59150400008,gallery,26.58974,5638,2.136376,15-30
59150400008,library or archives,16.12821,5134,1.301406,15-30
59150400008,museum,20.71795,9348,1.145902,15-30
59150400008,theatre/performance and concert hall,20.71795,6954,1.145902,15-30
59150400009,gallery,26.35897,5638,1.966659,15-30
59150400009,library or archives,15.69231,8405,0.7997975,15-30
59150400009,museum,19.20513,9348,0.9781693,15-30
59150400009,theatre/performance and concert hall,19.20513,6954,0.9781693,15-30
59150400010,gallery,26.74359,5638,2.048336,15-30
59150400010,library or archives,16.51282,8405,0.8230813,15-30
59150400010,museum,20.10256,9348,1.071027,15-30
59150400010,theatre/performance and concert hall,20.10256,6954,1.071027,15-30
59150401001,gallery,30.84615,5638,2.194952,30-45
59150401001,library or archives,19.41026,5134,1.250641,15-30
59150401001,museum,26.97436,9348,1.038399,15-30
59150401001,theatre/performance and concert hall,26.97436,6954,1.038399,15-30
59150401002,gallery,31.97436,5638,1.966659,30-45
59150401002,library or archives,21.15385,5134,1.38675,15-30
59150401002,museum,28.10256,9348,0.9117615,15-30
59150401002,theatre/performance and concert hall,28.10256,6954,0.9117615,15-30
59150401003,gallery,31.17949,5638,2.21088,30-45
59150401003,library or archives,20.61538,8405,0.6330953,15-30
59150401003,museum,24.4359,9348,1.020703,15-30
59150401003,theatre/performance and concert hall,24.4359,6954,1.020703,15-30
59150401005,gallery,30.30769,5638,2.079396,30-45
59150401005,library or archives,20.41026,5134,1.312249,15-30
59150401005,museum,24.35897,9348,1.038399,15-30
59150401005,theatre/performance and concert hall,24.35897,6954,1.038399,15-30
59150401006,gallery,27.84615,5638,2.046029,15-30
59150401006,library or archives,17.48718,8405,0.6833276,15-30
59150401006,museum,21.12821,9348,1.151189,15-30
59150401006,theatre/performance and concert hall,21.12821,6954,1.151189,15-30
59150402001,gallery,28.5641,5638,2.074848,15-30
59150402001,library or archives,17.33333,5134,1.221158,15-30
59150402001,museum,28.15385,9348,1.405599,15-30
59150402001,theatre/performance and concert hall,28.15385,6954,1.405599,15-30
59150402002,gallery,28.30769,5638,2.763996,15-30
59150402002,library or archives,16.10256,5134,1.313791,15-30
59150402002,museum,27,9348,1.169795,15-30
59150402002,theatre/performance and concert hall,27,6954,1.169795,15-30
59150402003,gallery,28.38462,5638,2.171773,15-30
59150402003,library or archives,17.12821,5134,1.301406,15-30
