DAUID,DBPOP,lat,lon
59150140,143,49.3328,-123.0705
59150140,0,49.3322,-123.0704
59150141,259,49.3299,-123.0737
59150141,633,49.3289,-123.0737
59150141,0,49.3294,-123.0708
59150141,0,49.3311,-123.0705
59150141,115,49.3288,-123.0698
59150141,0,49.3323,-123.0796
59150141,0,49.3322,-123.0736
59150141,317,49.3313,-123.0769
59150141,0,49.332,-123.0786
59150142,59,49.3316,-123.0674
59150142,0,49.3307,-123.0674
59150142,90,49.3307,-123.0643
59150142,86,49.3297,-123.0644
59150142,95,49.3277,-123.0622
59150142,83,49.3266,-123.0644
59150142,148,49.3267,-123.0675
59150143,52,49.3297,-123.0674
59150143,122,49.3287,-123.0675
59150143,116,49.3277,-123.0675
59150143,99,49.3277,-123.0644
59150143,107,49.3287,-123.0644
59150145,103,49.3327,-123.0643
59150145,0,49.3289,-123.0533
59150145,16,49.3319,-123.0534
59150145,63,49.3344,-123.0593
59150145,118,49.3336,-123.0673
59150145,69,49.3327,-123.0674
59150145,430,49.3327,-123.0589
59150146,108,49.3337,-123.057
59150146,238,49.3339,-123.0548
59150146,68,49.3343,-123.0544
59150146,10,49.3327,-123.0534
59150146,116,49.3323,-123.0547
59150147,60,49.3343,-123.0518
59150147,72,49.3346,-123.0498
59150147,83,49.3351,-123.0475
59150147,31,49.3327,-123.0525
59150147,70,49.3322,-123.0516
59150147,107,49.3306,-123.052
59150148,69,49.3338,-123.0485
59150148,376,49.3328,-123.0484
59150148,70,49.335,-123.0449
59150148,231,49.333999999999996,-123.0451
59150152,73,49.3343,-123.0371
59150152,348,49.3346,-123.0402
59150153,349,49.3319,-123.0362
59150153,273,49.3288,-123.0365
59150153,46,49.3281,-123.0358
59150153,63,49.3284,-123.03399999999999
59150157,238,49.338,-123.0248
59150157,132,49.3364,-123.025
59150157,62,49.3382,-123.0216
59150158,121,49.3396,-123.02799999999999
59150158,428,49.3376,-123.0301
59150159,129,49.3418,-123.0312
59150159,29,49.3409,-123.0321
59150159,379,49.3405,-123.0264
59150159,74,49.3404,-123.02799999999999
59150159,91,49.3424,-123.027
59150160,98,49.3429,-123.0363
59150160,110,49.342,-123.0363
59150160,289,49.3434,-123.035
59150160,214,49.3404,-123.03399999999999
59150161,651,49.3445,-123.0325
59150162,426,49.347,-123.0331
59150163,226,49.3469,-123.0259
59150163,159,49.3454,-123.0266
59150163,178,49.3439,-123.0272
59150163,67,49.3441,-123.0244
59150164,132,49.3493,-123.0294
59150164,111,49.3493,-123.0266
59150164,150,49.3483,-123.0266
59150164,133,49.3502,-123.0266
59150164,43,49.3501,-123.0236
59150165,524,49.3494,-123.03399999999999
59150166,204,49.3521,-123.0348
59150166,75,49.3518,-123.0328
59150167,473,49.3528,-123.0299
59150174,165,49.3231,-123.0369
59150174,120,49.324,-123.0336
59150174,65,49.3212,-123.0371
59150174,58,49.3212,-123.0395
59150175,34,49.3233,-123.0404
59150175,51,49.3223,-123.0397
59150175,160,49.3255,-123.0359
59150175,39,49.3262,-123.036
