"fromId","type","time_groups","pop"
"2.92239992566642e-313","theatre/performance and concert hall","75",56
"2.92239992571582e-313","gallery","45",51
"2.92239992571582e-313","library or archives","45",51
"2.92239992571582e-313","museum","45",51
"2.92239992571582e-313","theatre/performance and concert hall","60",51
"2.92239992576523e-313","gallery","45",23
"2.92239992576523e-313","library or archives","45",23
"2.92239992576523e-313","museum","45",23
"2.92239992576523e-313","theatre/performance and concert hall","60",23
"2.92239992591345e-313","gallery","60",0
"2.92239992591345e-313","library or archives","60",0
"2.92239992591345e-313","museum","60",0
"2.92239992591345e-313","theatre/performance and concert hall","75",0
"2.92239992596286e-313","gallery","75",343
"2.92239992596286e-313","library or archives","60",343
"2.92239992596286e-313","museum","60",343
"2.92239992596286e-313","theatre/performance and concert hall","90",343
"2.92239992601226e-313","gallery","45",0
"2.92239992601226e-313","library or archives","45",0
"2.92239992601226e-313","museum","45",0
"2.92239992601226e-313","theatre/performance and concert hall","60",0
"2.92239992606167e-313","gallery","90",0
"2.92239992606167e-313","library or archives","90",0
"2.92239992606167e-313","museum","90",0
